round,cid,n_k,rank,seed,lr,steps,applied,skipped,nonfinite,sec,vram_gb,loss,gnorm
18,10,2671366,0,42180262,0.0007339564536692134,5218,5215,3,0,29.452155281999694,6.803714275360107,0.1254195801249401,0.9111318761984659
18,11,1851046,0,42180263,0.0007339564536692134,3616,3614,2,0,19.81193920700025,6.7667646408081055,0.07719526095619898,0.7092150723531752
18,12,1495960,1,42180264,0.0007339564536692134,2922,2920,2,0,16.23063345800074,6.7507710456848145,0.11859116227659461,1.0721796741224314
18,13,1779645,0,42180265,0.0007339564536692134,3476,3474,2,0,19.377536465999583,6.763546943664551,0.0904584411375126,0.7250771355066206
18,14,3063594,0,42180266,0.0007339564536692134,5984,5982,2,0,33.80506384199998,6.821379661560059,0.039939301343157076,0.4073682228325602
18,15,1212957,1,42180267,0.0007339564536692134,2370,2368,2,0,12.997246154000095,6.738023281097412,0.11939178930746543,1.2531146487674198
18,16,870217,1,42180268,0.0007339564536692134,1700,1698,2,0,9.115256705999855,6.7225871086120605,0.1007897654467112,0.8839494505254344
18,17,5890990,0,42180269,0.0007339564536692134,11506,11501,5,0,63.98604257399984,6.948785305023193,0.05727987817635423,0.5549992935396922
18,18,1063458,1,42180270,0.0007339564536692134,2078,2076,2,0,11.488969241999257,6.731289863586426,0.09365405926125588,0.6843446353037693
18,19,1173148,0,42180271,0.0007339564536692134,2292,2291,1,0,12.864249399999608,6.736230373382568,0.08631337505925019,0.7124941495764677
19,0,3352748,1,42190259,0.000705367754845585,6549,6546,3,0,36.559045404000244,6.83604621887207,0.0997674267772065,0.8313238165482738
19,1,1783872,1,42190260,0.000705367754845585,3485,3483,2,0,19.644382847000088,6.763737678527832,0.072580964545426,0.6438951385524333
19,2,2652819,1,42190261,0.000705367754845585,5182,5179,3,0,28.946311167000204,6.8028788566589355,0.05442517492894985,0.5883784819855425
19,3,1455566,1,42190262,0.000705367754845585,2843,2841,2,0,15.81975842600059,6.748951435089111,0.11504290163496018,0.9330509861184442
19,4,1864534,1,42190263,0.000705367754845585,3642,3639,3,0,20.44661014200028,6.7673726081848145,0.14932832143961253,1.1088629017887812
19,5,1932238,0,42190264,0.000705367754845585,3774,3772,2,0,21.356453587000033,6.770422458648682,0.10100256878396739,0.9541017566733497
19,6,3372587,1,42190265,0.000705367754845585,6588,6584,4,0,36.75098318200071,6.836348533630371,0.08240377396019233,0.774636028748671
19,7,1472203,0,42190266,0.000705367754845585,2876,2874,2,0,16.09229203599989,6.749701023101807,0.17706236178956267,1.1717903917667014
19,8,2845626,1,42190267,0.000705367754845585,5558,5555,3,0,30.39633585699994,6.811844348907471,0.09171398585171017,0.805262889570207
19,9,1240841,0,42190268,0.000705367754845585,2424,2421,3,0,13.548490533000404,6.739888668060303,0.09725859499036749,0.8813536059802252
19,10,2671366,0,42190269,0.000705367754845585,5218,5216,2,0,29.265622252999492,6.803714275360107,0.12387310800376845,0.916749731894651
19,11,1851046,0,42190270,0.000705367754845585,3616,3614,2,0,20.244842025999787,6.7667646408081055,0.07611898856065388,0.7081151560122094
19,12,1495960,1,42190271,0.000705367754845585,2922,2920,2,0,16.029393308999715,6.7507710456848145,0.11791543829930971,1.0696382705479452
19,13,1779645,0,42190272,0.000705367754845585,3476,3474,2,0,19.270841939999627,6.763546943664551,0.08925888245999299,0.7171727138205239
19,14,3063594,0,42190273,0.000705367754845585,5984,5982,2,0,32.935296409999864,6.821379661560059,0.03946505705674968,0.4065947435405174
19,15,1212957,1,42190274,0.000705367754845585,2370,2368,2,0,13.095639287000267,6.738023281097412,0.11804579399727486,1.2150261337692674
19,16,870217,1,42190275,0.000705367754845585,1700,1698,2,0,9.040674861000298,6.7225871086120605,0.10016482906993061,0.8957600048770612
19,17,5890990,0,42190276,0.000705367754845585,11506,11500,6,0,64.30216605399983,6.948785305023193,0.05664999256963315,0.5571479704483696
19,18,1063458,1,42190277,0.000705367754845585,2078,2077,1,0,11.3229402449997,6.731289863586426,0.09303424745209812,0.6875910384757162
19,19,1173148,0,42190278,0.000705367754845585,2292,2291,1,0,12.582324251999125,6.736230373382568,0.08534747572873472,0.7089222475515604
20,0,3352748,1,42200266,0.0006759557019385474,6549,6546,3,0,36.739487679000376,6.83604621887207,0.09882712546306904,0.8311518066853804
20,1,1783872,1,42200267,0.0006759557019385474,3485,3483,2,0,19.64663317800023,6.763737678527832,0.07171185318505734,0.6529945112869653
20,2,2652819,1,42200268,0.0006759557019385474,5182,5179,3,0,29.045696768999733,6.8028788566589355,0.054103494081793664,0.5891241974802085
20,3,1455566,1,42200269,0.0006759557019385474,2843,2841,2,0,15.883740047000174,6.748951435089111,0.11378726603404941,0.9331409598017864
20,4,1864534,1,42200270,0.0006759557019385474,3642,3640,2,0,20.33155428000009,6.7673726081848145,0.14813653296166723,1.114122797368647
20,5,1932238,0,42200271,0.0006759557019385474,3774,3771,3,0,21.357319194999945,6.770422458648682,0.09989589710382275,0.9549813362876226
20,6,3372587,1,42200272,0.0006759557019385474,6588,6583,5,0,36.43566469199959,6.836348533630371,0.08232248124608366,0.7741204113578536
20,7,1472203,0,42200273,0.0006759557019385474,2876,2874,2,0,16.07546155,6.749701023101807,0.17576455771300886,1.18094642973643
20,8,2845626,1,42200274,0.0006759557019385474,5558,5555,3,0,30.793679156000508,6.811844348907471,0.09101772909224516,0.8060097708989649
20,9,1240841,0,42200275,0.0006759557019385474,2424,2421,3,0,13.367832560999886,6.739888668060303,0.09629058522756609,0.8885146609420178
20,10,2671366,0,42200276,0.0006759557019385474,5218,5216,2,0,29.26097703799951,6.803714275360107,0.12294266121519123,0.9158971119512078
20,11,1851046,0,42200277,0.0006759557019385474,3616,3613,3,0,20.35287378999965,6.7667646408081055,0.0752687641632646,0.7107080902513493
20,12,1495960,1,42200278,0.0006759557019385474,2922,2920,2,0,16.413286986999992,6.7507710456848145,0.11819785131167058,1.0964051965164812
20,13,1779645,0,42200279,0.0006759557019385474,3476,3474,2,0,19.451216639999984,6.763546943664551,0.08851729828390364,0.716198329892595
20,14,3063594,0,42200280,0.0006759557019385474,5984,5982,2,0,33.49486632599928,6.821379661560059,0.03897899753949348,0.4090611270660941
20,15,1212957,1,42200281,0.0006759557019385474,2370,2367,3,0,12.88820177999969,6.738023281097412,0.11685974868884004,1.2188704715885086
