round,cid,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
2,1,0.538969253187079,0.4184637002729601,0.538969253187079,0.6204204320469644,0.505545203283826,0.538969253187079,0.538969253187079,0.41225726477319263,0.538969253187079,0.535427155748097
2,2,0.5881563295584947,0.4430842950169955,0.5881563295584947,0.6223826847955345,0.4683574561232472,0.5881563295584947,0.5881563295584947,0.422259529900866,0.5881563295584947,0.5829026348773777
2,3,0.6530005595026569,0.619577383330788,0.6530005595026569,0.6893413986067853,0.4870111431220351,0.6530005595026569,0.6530005595026569,0.4914060552543453,0.6530005595026569,0.6448678613793615
2,4,0.5403524448574867,0.5099281761887896,0.5403524448574867,0.6689380720148954,0.4922011443770062,0.5403524448574867,0.5403524448574867,0.40377512677822724,0.5403524448574867,0.5300866273648029
2,5,0.39284613453915557,0.6210123100619775,0.39284613453915557,0.6912408770210035,0.44150085135563544,0.39284613453915557,0.3928461345391555,0.44438218834932625,0.39284613453915557,0.4356445745143026
2,6,0.4385736055434717,0.4537378817664717,0.4385736055434717,0.41234212943213855,0.43748003170873473,0.4385736055434717,0.4385736055434717,0.39249606034347173,0.4385736055434717,0.3926100713042602
2,7,0.5101412528157498,0.5709020228463484,0.5101412528157498,0.6296289530385797,0.47144390481985776,0.5101412528157498,0.5101412528157498,0.42301343436282524,0.5101412528157498,0.5103032358138486
2,8,0.5365576582774102,0.42806708386557535,0.5365576582774102,0.5197406199423148,0.476860258327773,0.5365576582774102,0.5365576582774102,0.391698887864143,0.5365576582774102,0.49257311780419355
2,9,0.46248772109577774,0.5550525840385203,0.46248772109577774,0.6360108703121686,0.4482651649664339,0.46248772109577774,0.46248772109577774,0.39875883310504157,0.46248772109577774,0.4361163803297099
2,10,0.42635617134404136,0.5133866387575301,0.42635617134404136,0.4180135747562673,0.5275085089596342,0.42635617134404136,0.42635617134404136,0.4718704539850528,0.42635617134404136,0.39250627748759653
2,11,0.6485481412496563,0.6420566992555474,0.6485481412496563,0.7042333505836866,0.6412202680953148,0.6485481412496563,0.6485481412496563,0.5993294507298856,0.6485481412496563,0.635915267193853
2,12,0.5289592572228206,0.567764105033747,0.5289592572228206,0.6816119622405667,0.537845996289168,0.5289592572228206,0.5289592572228206,0.4802306299988332,0.5289592572228206,0.5176436988192512
2,13,0.51379154070268,0.6232553648150672,0.51379154070268,0.6848307674971783,0.3799323645500204,0.51379154070268,0.51379154070268,0.326865907961533,0.51379154070268,0.4784852273025405
2,14,0.6058951006393904,0.6385694454823193,0.6058951006393904,0.7211609065752563,0.633154752779094,0.6058951006393904,0.6058951006393904,0.5837324401660349,0.6058951006393904,0.5988312228819455
2,15,0.47302971385634673,0.5042193962487926,0.47302971385634673,0.6246358025953718,0.3732752953603395,0.47302971385634673,0.47302971385634673,0.2964400557762434,0.47302971385634673,0.4324265960944277
2,16,0.4887260818654326,0.5009898477010288,0.4887260818654326,0.6452326784150026,0.5183090542647651,0.4887260818654326,0.48872608186543254,0.4609850061901356,0.4887260818654326,0.5047278273580541
